name,file,component,dtype,shape,bytes,data_start,data_end,file_data_start,file_data_end,layer,expert,matrix,kind
layers.13.ffn.experts.231.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2218030424,2222224728,2218204656,2222398960,13,231,w3,weight
layers.13.ffn.experts.232.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2222224728,2226419032,2222398960,2226593264,13,232,w1,weight
layers.13.ffn.experts.232.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2226419032,2230613336,2226593264,2230787568,13,232,w2,weight
layers.13.ffn.experts.232.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2230613336,2234807640,2230787568,2234981872,13,232,w3,weight
layers.13.ffn.experts.233.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2234807640,2239001944,2234981872,2239176176,13,233,w1,weight
layers.13.ffn.experts.233.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2239001944,2243196248,2239176176,2243370480,13,233,w2,weight
layers.13.ffn.experts.233.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2243196248,2247390552,2243370480,2247564784,13,233,w3,weight
layers.13.ffn.experts.234.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2247390552,2251584856,2247564784,2251759088,13,234,w1,weight
layers.13.ffn.experts.234.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2251584856,2255779160,2251759088,2255953392,13,234,w2,weight
layers.13.ffn.experts.234.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2255779160,2259973464,2255953392,2260147696,13,234,w3,weight
layers.13.ffn.experts.235.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2259973464,2264167768,2260147696,2264342000,13,235,w1,weight
layers.13.ffn.experts.235.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2264167768,2268362072,2264342000,2268536304,13,235,w2,weight
layers.13.ffn.experts.235.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2268362072,2272556376,2268536304,2272730608,13,235,w3,weight
layers.13.ffn.experts.236.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2272556376,2276750680,2272730608,2276924912,13,236,w1,weight
layers.13.ffn.experts.236.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2276750680,2280944984,2276924912,2281119216,13,236,w2,weight
layers.13.ffn.experts.236.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2280944984,2285139288,2281119216,2285313520,13,236,w3,weight
layers.13.ffn.experts.237.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2285139288,2289333592,2285313520,2289507824,13,237,w1,weight
layers.13.ffn.experts.237.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2289333592,2293527896,2289507824,2293702128,13,237,w2,weight
layers.13.ffn.experts.237.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2293527896,2297722200,2293702128,2297896432,13,237,w3,weight
layers.13.ffn.experts.238.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2297722200,2301916504,2297896432,2302090736,13,238,w1,weight
layers.13.ffn.experts.238.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2301916504,2306110808,2302090736,2306285040,13,238,w2,weight
layers.13.ffn.experts.238.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2306110808,2310305112,2306285040,2310479344,13,238,w3,weight
layers.13.ffn.experts.239.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2310305112,2314499416,2310479344,2314673648,13,239,w1,weight
layers.13.ffn.experts.239.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2314499416,2318693720,2314673648,2318867952,13,239,w2,weight
layers.13.ffn.experts.239.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2318693720,2322888024,2318867952,2323062256,13,239,w3,weight
layers.13.ffn.experts.24.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2322888024,2327082328,2323062256,2327256560,13,24,w1,weight
layers.13.ffn.experts.24.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2327082328,2331276632,2327256560,2331450864,13,24,w2,weight
layers.13.ffn.experts.24.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2331276632,2335470936,2331450864,2335645168,13,24,w3,weight
layers.13.ffn.experts.240.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2335470936,2339665240,2335645168,2339839472,13,240,w1,weight
layers.13.ffn.experts.240.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2339665240,2343859544,2339839472,2344033776,13,240,w2,weight
layers.13.ffn.experts.240.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2343859544,2348053848,2344033776,2348228080,13,240,w3,weight
layers.13.ffn.experts.241.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2348053848,2352248152,2348228080,2352422384,13,241,w1,weight
layers.13.ffn.experts.241.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2352248152,2356442456,2352422384,2356616688,13,241,w2,weight
layers.13.ffn.experts.241.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2356442456,2360636760,2356616688,2360810992,13,241,w3,weight
layers.13.ffn.experts.242.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2360636760,2364831064,2360810992,2365005296,13,242,w1,weight
layers.13.ffn.experts.242.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2364831064,2369025368,2365005296,2369199600,13,242,w2,weight
